what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439252302
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375439252329
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375439272191
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1375439288259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439290065
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375439290451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439292392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439297882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439301834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439304953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439306925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439308754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439310972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439311882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439313796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439314962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439318161
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375439318180
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375439319356
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1375439321931
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375439322088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439322348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439346653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439348642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439371921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375439371937
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375439376056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375439376087
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375439386363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439388642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375439396508
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375439398978
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375439399028
