what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375338692642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338694711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338717018
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338724094
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338729118
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338731761
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338731761
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375338735055
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338737325
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375338737364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338766713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338769491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338771118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338787311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338788992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338822949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338824528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338987143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338992003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375338997728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375338997736
opened,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1375339002982
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1375339003012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.quickStartAction",1375339003032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339008711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339011130
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339012817
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1375339012834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339023008
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1375339042887
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1375339043250
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1375339049698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339061104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1375339061110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339063486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339121645
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339126573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339129561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339134045
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375339148305
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375339148360
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339152647
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375339152647
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339157684
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339177553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339181917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339234002
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339246566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339251765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339348211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339380828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339476882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339484408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339528122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375339528130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375339528130
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1375339530922
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339530944
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1375339536273
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.JavaPerspective",1375339539611
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339547214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339558290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339597000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339598474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339599070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339600627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339602425
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339606356
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339607504
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339607504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375339608455
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339616976
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339624521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339682079
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339684235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339684326
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1375339684329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375339684329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339685794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339697582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339698796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375339706335
error,log,,,"Failed to load properties file for project 'Mytmt4'",1375339831540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339831581
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1375339831608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375339831632
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.JavaPerspective",1375339831785
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339831866
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375339831917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339837198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339856777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339857558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339867312
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375339869324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339875503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375339880962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339882985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375339882989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375339894661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339904854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339923759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339929138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375339940425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375339940431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340237703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340239281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340240318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340241233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340242182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340536546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375340541352
