what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353705119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353709214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353809354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353813718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353822818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375353822826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375353830366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375354383151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375354388349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375354526528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375354546889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356450268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356457123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356464337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356479504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375356485151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356491764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356611952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356621113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356637977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375356637985
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375356642797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356644848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356658979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375356661509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356671370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356702607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356706672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356714064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356718069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356725742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356734761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356789204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356801450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375356972042
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375356980751
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375356980788
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375356980788
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375356982262
