what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375428984786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375428989704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375428994842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429003342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429543502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429545612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429547334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429551993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429561246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429564958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429567870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429571049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429571358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375429582343
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375429590200
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1375429590368
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375429591173
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1375429591680
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375429592012
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1375429593519
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375429604098
