what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362849248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362856988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375362859298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375362866669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362867643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362870492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362872829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375362875316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362886556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362887290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362887811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362899503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362902211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362905061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362905393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362913190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362919692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362935536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362939134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362941197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375362941205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362941979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362942780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362943091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362953799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362957547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375362980301
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375362984116
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375362984165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375362995053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375363005576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1375363015096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1375363016088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375363016506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375363017286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375363017602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375363020690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375363026999
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1375363028527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1375363032071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375363033639
