what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347463291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347465363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347479830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347488312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347494840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375347494849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375347494849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347503237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375347532150
error,log,,,"Failed to load properties file for project 'MyBarcodeScanner1'",1375347761711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347761772
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375347761921
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375347761959
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375347771758
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1375347782093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347792304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347797840
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1375347815992
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375347819155
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375347831682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347840014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347872555
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375347872563
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375347876376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347878594
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1375347880251
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375347880382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347880758
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1375347880763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375347880763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347883217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347892951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347893986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347903002
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1375347910468
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1375347910534
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375347916755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347918687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347927856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347928958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347939251
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1375347950223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375347956247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348001655
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375348001672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348004668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348006005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348007127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348020005
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375348022532
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1375348023017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375348030129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375348036899
