what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375420248542
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1375420428699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375420440389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420468853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420544134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420544296
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1375420545793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375420549842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420550951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420621406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420624429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420625898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420627006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420678574
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375420681843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420711526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420757025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420758830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420763456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420763940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420764588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420773206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420793239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420797539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420803861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420806806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420810487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420841645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420850905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375420852109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375420853514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375420858307
error,log,,,"Failed converting ECJ parse tree to Lombok for file C:\\Users\\ashok\\workspace\\MyBarcodeScanner\\src\\com\\phonegap\\plugins\\barcodescanner\\BarcodeScanner.java",1375420858976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1375420867579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375420868917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420873636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420888826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420892815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420902813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420905306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420907428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420911465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420915908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420928571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375420933769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375420946275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420956948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420960664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375420969548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375421022676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1375421034788
