what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332246326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332247660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332374555
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375332379125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332383364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332391021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332398533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375332421459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332431117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375332431124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332449281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332511788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332519847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332551884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375332551891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375332551892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332552885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332554988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332557771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332561628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375332561634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375332561634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332568504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332573940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375332573947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375332871547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333239583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333248096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333268763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333270170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333595676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333621253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333747483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333765723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333766802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333769060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333819234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375333830195
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375333831974
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375333831974
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1375333833576
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1375333833576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333846548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333876921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375333883800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375334141608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375334143803
error,log,,,"Failed to load properties file for project 'myproject'",1375334691848
